Gene	Accession	Chromosome	End	Start	Strand
Gm16070	ENSMUSG00000085125	1	17727646	17676027	-
Gm28153	ENSMUSG00000099895	1	17805417	17741915	-
Gm28756	ENSMUSG00000109887	1	18059056	17994462	-
Crisp4	ENSMUSG00000025774	1	18145902	18115191	-
Defb18	ENSMUSG00000073735	1	18237443	18236473	-
Defb41	ENSMUSG00000067773	1	18265138	18250980	-
Gm15825	ENSMUSG00000089787	1	19104840	19063300	-
Pkhd1	ENSMUSG00000043760	1	20618064	20057779	-
Il17f	ENSMUSG00000041872	1	20790617	20777146	-
Mcm3	ENSMUSG00000041859	1	20820312	20802968	-
6720483E21Rik	ENSMUSG00000097934	1	20890473	20888650	-
Tram2	ENSMUSG00000041779	1	21079229	20996299	-
Gm28836	ENSMUSG00000099343	1	21271593	21250359	-
Kcnq5	ENSMUSG00000028033	1	21961942	21398403	-
Rims1	ENSMUSG00000041670	1	22805994	22286251	-
Gm29506	ENSMUSG00000101227	1	23235673	23048295	-
4933415F23Rik	ENSMUSG00000073730	1	23102253	23100473	-
Ogfrl1	ENSMUSG00000026158	1	23397772	23366424	-
Smap1	ENSMUSG00000026155	1	23922317	23844846	-
Sdhaf4	ENSMUSG00000026154	1	24005656	23995939	-
Fam135a	ENSMUSG00000026153	1	24100341	24011093	-
Col19a1	ENSMUSG00000026141	1	24587472	24261890	-
Gm28237	ENSMUSG00000100483	1	24965158	24963209	-
Gm29414	ENSMUSG00000099392	1	25027232	25026581	-
Adgrb3	ENSMUSG00000033569	1	25829707	25067476	-
4931408C20Rik	ENSMUSG00000073722	1	26687460	26681814	-
Gm597	ENSMUSG00000048411	1	28780252	28776117	-
Gm9898	ENSMUSG00000053185	1	30719962	30718560	-
Phf3	ENSMUSG00000048874	1	30873921	30802339	-
Ptp4a1	ENSMUSG00000026064	1	30949309	30940302	-
Ptp4a1	ENSMUSG00000117310	1	30949770	30940302	-
Gm5698	ENSMUSG00000117091	1	30977968	30977243	-
4931428L18Rik	ENSMUSG00000086727	1	31222684	30997842	-
Gm5415	ENSMUSG00000091318	1	32547294	32543686	-
Gm37591	ENSMUSG00000104230	1	33215475	33212774	-
Prim2	ENSMUSG00000026134	1	33669795	33453810	-
Bag2	ENSMUSG00000042215	1	33757795	33745484	-
Zfp451	ENSMUSG00000042197	1	33814595	33761545	-
Bend6	ENSMUSG00000042182	1	33907816	33852052	-
Gm26788	ENSMUSG00000096992	1	34178446	34165856	-
Gm37958	ENSMUSG00000104397	1	34330307	34329433	-
Gm37233	ENSMUSG00000102336	1	34433264	34427002	-
Ccdc115	ENSMUSG00000042111	1	34439672	34436670	-
Gm28306	ENSMUSG00000101711	1	34444730	34439511	-
Gm28417	ENSMUSG00000100280	1	34473148	34468834	-
4930568A12Rik	ENSMUSG00000101223	1	34485933	34477167	-
Prss40	ENSMUSG00000037529	1	34560943	34543968	-
1700101I19Rik	ENSMUSG00000045815	1	34579711	34579202	-
Gm38336	ENSMUSG00000104002	1	34811908	34809360	-
Fam168b	ENSMUSG00000037503	1	34843065	34813219	-
Gm37068	ENSMUSG00000104417	1	35651297	35625606	-
Gm37146	ENSMUSG00000102279	1	35986373	35981960	-
Gm33222	ENSMUSG00000103708	1	36011044	36002985	-
Gm37335	ENSMUSG00000104523	1	36106446	36105384	-
Uggt1	ENSMUSG00000037470	1	36244720	36140027	-
Neurl3	ENSMUSG00000047180	1	36274679	36264597	-
Kansl3	ENSMUSG00000010453	1	36369181	36335730	-
Lman2l	ENSMUSG00000001143	1	36445271	36419871	-
Gm38033	ENSMUSG00000102845	1	36528237	36527534	-
Ankrd23	ENSMUSG00000067653	1	36536883	36530188	-
Ankrd39	ENSMUSG00000079610	1	36547445	36537507	-
Sema4c	ENSMUSG00000026121	1	36558349	36548639	-
Fam178b	ENSMUSG00000046337	1	36683183	36562692	-
Actr1b	ENSMUSG00000037351	1	36714422	36698114	-
Gm33533	ENSMUSG00000104237	1	36744792	36739048	-
Tmem131	ENSMUSG00000026116	1	36943666	36792191	-
Gm38115	ENSMUSG00000102930	1	36916539	36913601	-
Gm37020	ENSMUSG00000103603	1	37133264	37132273	-
4930439A04Rik	ENSMUSG00000086064	1	37334172	37329667	-
Coa5	ENSMUSG00000026112	1	37430103	37417084	-
Mgat4a	ENSMUSG00000026110	1	37541016	37439340	-
2010300C02Rik	ENSMUSG00000026090	1	37720085	37611677	-
Tsga10	ENSMUSG00000060771	1	37866429	37754776	-
Mitd1	ENSMUSG00000026088	1	37890411	37874801	-
Lyg2	ENSMUSG00000061584	1	37916493	37905923	-
Lyg1	ENSMUSG00000026085	1	37957759	37946736	-
Txndc9	ENSMUSG00000058407	1	37997893	37985189	-
Rev1	ENSMUSG00000026082	1	38129801	38052786	-
Gm37062	ENSMUSG00000103804	1	38077305	38076295	-
Aff3	ENSMUSG00000037138	1	38664955	38177326	-
Lonrf2	ENSMUSG00000048814	1	38836711	38793645	-
Chst10	ENSMUSG00000026080	1	38898161	38863867	-
Gm37821	ENSMUSG00000104188	1	39057637	39048648	-
Tbc1d8	ENSMUSG00000003134	1	39478755	39371492	-
Gm15832	ENSMUSG00000085894	1	39552002	39547570	-
Rnf149	ENSMUSG00000048234	1	39577405	39551296	-
Creg2	ENSMUSG00000050967	1	39651474	39618406	-
Rfx8	ENSMUSG00000057173	1	39720997	39665301	-
Gm3646	ENSMUSG00000091937	1	39805332	39804148	-
1700066B17Rik	ENSMUSG00000101634	1	39847334	39839175	-
Gm16894	ENSMUSG00000097899	1	40085851	40076228	-
Gm35801	ENSMUSG00000104441	1	40580662	40572188	-
Gm37623	ENSMUSG00000103679	1	40697636	40691442	-
Mfsd9	ENSMUSG00000041945	1	40790687	40772038	-
4930448I06Rik	ENSMUSG00000104072	1	41181252	41167587	-
Gm28634	ENSMUSG00000100185	1	41529543	41526931	-
Gm29664	ENSMUSG00000101919	1	42238695	42238233	-
Gm28140	ENSMUSG00000100180	1	42355937	42324590	-
Pantr1	ENSMUSG00000060424	1	42694842	42590782	-
Pantr2	ENSMUSG00000097063	1	42713454	42707061	-
Tgfbrap1	ENSMUSG00000070939	1	43098637	43047200	-
Fhl2	ENSMUSG00000008136	1	43196984	43123074	-
Gm29040	ENSMUSG00000099576	1	43302925	43250156	-
Gm29155	ENSMUSG00000100764	1	43743895	43741961	-
Gm29156	ENSMUSG00000100480	1	43746282	43745784	-
Uxs1	ENSMUSG00000057363	1	43827800	43746966	-
Mettl21c	ENSMUSG00000047343	1	44020034	44009408	-
Gm8251	ENSMUSG00000091844	1	44079746	44055872	-
Tex30	ENSMUSG00000026049	1	44102441	44086613	-
Poglut2	ENSMUSG00000026047	1	44118808	44106546	-
Mettl21e	ENSMUSG00000046828	1	44218961	44204070	-
4930521E06Rik	ENSMUSG00000101701	1	44744949	44739676	-
Col5a2	ENSMUSG00000026042	1	45503282	45374321	-
Gm5269	ENSMUSG00000098549	1	45890273	45889525	-
Slc40a1	ENSMUSG00000025993	1	45926523	45908068	-
Slc39a10	ENSMUSG00000025986	1	46892852	46807544	-
Gm28151	ENSMUSG00000100213	1	46850479	46849529	-
Gm29665	ENSMUSG00000100451	1	50398079	50397552	-
Gm28319	ENSMUSG00000101242	1	51141222	51138281	-
9330175M20Rik	ENSMUSG00000101799	1	51333779	51218386	-
1700072G22Rik	ENSMUSG00000101702	1	51458931	51457932	-
Nabp1	ENSMUSG00000026107	1	51478425	51465862	-
Gm17767	ENSMUSG00000099413	1	51596718	51507086	-
Gm28055	ENSMUSG00000101741	1	51746943	51696324	-
Myo1b	ENSMUSG00000018417	1	51916071	51749765	-
Gm29453	ENSMUSG00000101724	1	51849118	51847840	-
Gm28323	ENSMUSG00000100313	1	51879608	51877110	-
Gm31812	ENSMUSG00000109599	1	52113751	52108121	-
Gls	ENSMUSG00000026103	1	52233232	52163448	-
Nab1	ENSMUSG00000002881	1	52500679	52457294	-
Gm28178	ENSMUSG00000099878	1	52580291	52570014	-
Mfsd6	ENSMUSG00000041439	1	52727462	52656286	-
Gm29670	ENSMUSG00000100302	1	52704762	52702272	-
Inpp1	ENSMUSG00000026102	1	52817688	52785427	-
1700019D03Rik	ENSMUSG00000043629	1	53020179	52922324	-
1700019A02Rik	ENSMUSG00000060715	1	53187636	53158577	-
Pms1	ENSMUSG00000026098	1	53297018	53189187	-
Asnsd1	ENSMUSG00000026095	1	53352752	53344617	-
Asdurf	ENSMUSG00000117809	1	53352619	53348479	-
Dnah7a	ENSMUSG00000096141	1	53706784	53397006	-
Stk17b	ENSMUSG00000026094	1	53785224	53755506	-
Hecw2	ENSMUSG00000042807	1	54195168	53806876	-
Gtf3c3	ENSMUSG00000041303	1	54438971	54396004	-
Gm34066	ENSMUSG00000109809	1	54456763	54443404	-
Pgap1	ENSMUSG00000073678	1	54557684	54472994	-
Ankrd44	ENSMUSG00000052331	1	54926387	54645340	-
Sf3b1	ENSMUSG00000025982	1	55027481	54985169	-
Hspd1	ENSMUSG00000025980	1	55088243	55077835	-
Rftn2	ENSMUSG00000025978	1	55226782	55170159	-
Boll	ENSMUSG00000025977	1	55363469	55248658	-
Hsfy2	ENSMUSG00000045336	1	56637435	56636044	-
Satb2	ENSMUSG00000038331	1	56978650	56793981	-
BC055402	ENSMUSG00000101429	1	57214993	57200645	-
4930558J18Rik	ENSMUSG00000097519	1	57377544	57359222	-
Tyw5	ENSMUSG00000048495	1	57407101	57388237	-
Gm17234	ENSMUSG00000091283	1	57917111	57909835	-
Kctd18	ENSMUSG00000054770	1	58018956	57955101	-
Gm15759	ENSMUSG00000089822	1	58315656	58254117	-
Clk1	ENSMUSG00000026034	1	58424066	58410189	-
Ppil3	ENSMUSG00000026035	1	58445486	58430994	-
Orc2	ENSMUSG00000026037	1	58505109	58462771	-
Fam126b	ENSMUSG00000038174	1	58586323	58522806	-
Flacc1	ENSMUSG00000047528	1	58695989	58646903	-
Trak2	ENSMUSG00000026028	1	58973430	58900449	-
C2cd6	ENSMUSG00000072295	1	59094900	58997116	-
AC169382.1	ENSMUSG00000047383	1	59003539	58997123	-
Tmem237	ENSMUSG00000038079	1	59120408	59100590	-
Mpp4	ENSMUSG00000079550	1	59163389	59120935	-
Als2	ENSMUSG00000026024	1	59237231	59162926	-
Gm26813	ENSMUSG00000097819	1	59492605	59488480	-
Gm28411	ENSMUSG00000099811	1	59549521	59532991	-
1700122D07Rik	ENSMUSG00000101409	1	59537229	59534811	-
Sumo1	ENSMUSG00000026021	1	59670834	59586558	-
Ica1l	ENSMUSG00000026018	1	60043184	59982490	-
Wdr12	ENSMUSG00000026019	1	60098645	60069785	-
Raph1	ENSMUSG00000026014	1	60567104	60482292	-
Gm11579	ENSMUSG00000086795	1	60781834	60776665	-
Gm28083	ENSMUSG00000100893	1	61271514	61265291	-
4930587A21Rik	ENSMUSG00000086009	1	61621149	61616943	-
Pard3bos1	ENSMUSG00000085842	1	61851540	61767415	-
Pard3bos2	ENSMUSG00000085019	1	62136109	62131195	-
Pard3bos3	ENSMUSG00000085400	1	62499261	62456725	-
Gm29084	ENSMUSG00000100750	1	62535942	62534491	-
Gm29083	ENSMUSG00000100811	1	62718073	62714723	-
Gm4208	ENSMUSG00000100426	1	62832370	62821355	-
Ino80d	ENSMUSG00000040865	1	63114667	62958418	-
Ndufs1	ENSMUSG00000025968	1	63176833	63143596	-
Gpr1	ENSMUSG00000046856	1	63214543	63182691	-
Gm11608	ENSMUSG00000087561	1	63273120	63266848	-
Dytn	ENSMUSG00000069085	1	63686927	63622851	-
Mdh1b	ENSMUSG00000025963	1	63730318	63698819	-
4933402D24Rik	ENSMUSG00000025961	1	63769267	63754907	-
Klf7	ENSMUSG00000025959	1	64122282	64029447	-
Gm28981	ENSMUSG00000101895	1	64303043	64185991	-
Mettl21a	ENSMUSG00000025956	1	64617242	64606473	-
2810408I11Rik	ENSMUSG00000087213	1	64690659	64679871	-
Fzd5	ENSMUSG00000045005	1	64737751	64730558	-
Plekhm3	ENSMUSG00000051344	1	64956824	64785983	-
Akr1cl	ENSMUSG00000025955	1	65032759	65012689	-
Cryge	ENSMUSG00000070870	1	65051149	65048554	-
Crygd	ENSMUSG00000067299	1	65063452	65061872	-
Crygc	ENSMUSG00000025952	1	65073689	65071525	-
Crygb	ENSMUSG00000073658	1	65082288	65080219	-
Cryga	ENSMUSG00000044429	1	65103373	65100389	-
D630023F18Rik	ENSMUSG00000044816	1	65123214	65105285	-
Idh1	ENSMUSG00000025950	1	65186500	65158616	-
Gm10558	ENSMUSG00000073656	1	66328796	66322276	-
Kansl1l	ENSMUSG00000026004	1	66817562	66719248	-
Acadl	ENSMUSG00000026003	1	66863277	66830839	-
Myl1	ENSMUSG00000061816	1	66945404	66924295	-
Lancl1	ENSMUSG00000026000	1	67038872	67000517	-
Erbb4	ENSMUSG00000062209	1	69108059	68032186	-
Gm16076	ENSMUSG00000087514	1	69106740	69091913	-
Gm29113	ENSMUSG00000100354	1	69493788	69490357	-
Ikzf2	ENSMUSG00000025997	1	69687245	69531214	-
Gm29112	ENSMUSG00000100815	1	69598522	69595036	-
Gm28112	ENSMUSG00000099954	1	69662061	69660187	-
Bard1	ENSMUSG00000026196	1	71103146	71027498	-
Abca12	ENSMUSG00000050296	1	71414910	71242276	-
Fn1	ENSMUSG00000026193	1	71653200	71585520	-
Gm28818	ENSMUSG00000101211	1	71917125	71894068	-
4933417E11Rik	ENSMUSG00000101848	1	72005195	71958998	-
4930556G22Rik	ENSMUSG00000101764	1	72038731	71983681	-
Gm4319	ENSMUSG00000102123	1	72122001	72107155	-
Mreg	ENSMUSG00000039395	1	72212307	72159442	-
Pecr	ENSMUSG00000026189	1	72284314	72259167	-
March4	ENSMUSG00000039372	1	72536930	72427112	-
Ankar	ENSMUSG00000039342	1	72700579	72642980	-
Igfbp5	ENSMUSG00000026185	1	72874884	72857932	-
Tnp1	ENSMUSG00000026182	1	73015909	73015074	-
Pinc	ENSMUSG00000099877	1	73407569	73390775	-
C530043A13Rik	ENSMUSG00000100444	1	73529790	73522095	-
6030407O03Rik	ENSMUSG00000100301	1	73864466	73618088	-
Gm29183	ENSMUSG00000101344	1	73841917	73750321	-
Tns1	ENSMUSG00000055322	1	74124449	73910231	-
Cxcr1	ENSMUSG00000048480	1	74194631	74191785	-
Aamp	ENSMUSG00000006299	1	74284738	74279840	-
Tmbim1	ENSMUSG00000006301	1	74305622	74288247	-
Usp37	ENSMUSG00000033364	1	74544284	74435511	-
Zfp142	ENSMUSG00000026135	1	74588246	74565127	-
Rnf25	ENSMUSG00000026171	1	74601397	74593748	-
Prkag3	ENSMUSG00000006542	1	74749221	74738922	-
Gm29539	ENSMUSG00000099472	1	74777405	74774943	-
Fev	ENSMUSG00000055197	1	74885419	74881509	-
Cryba2	ENSMUSG00000006546	1	74893143	74889934	-
Cfap65	ENSMUSG00000047021	1	74935599	74902071	-
Ihh	ENSMUSG00000006538	1	74951672	74945315	-
Nhej1	ENSMUSG00000026162	1	75125200	74967139	-
Slc23a3	ENSMUSG00000026205	1	75133890	75125541	-
Cnppd1	ENSMUSG00000033159	1	75142711	75134554	-
Abcb6	ENSMUSG00000026198	1	75180392	75171717	-
Atg9a	ENSMUSG00000033124	1	75192196	75180860	-
Glb1l	ENSMUSG00000026200	1	75210813	75198236	-
Tuba4a	ENSMUSG00000026202	1	75219865	75214228	-
A630095N17Rik	ENSMUSG00000096094	1	75232102	75220095	-
Ptprn	ENSMUSG00000026204	1	75264502	75247027	-
Resp18	ENSMUSG00000033061	1	75278415	75272199	-
Dnpep	ENSMUSG00000026209	1	75317990	75307896	-
Gm15179	ENSMUSG00000085653	1	75375012	75368212	-
Gm15178	ENSMUSG00000086053	1	75396363	75392131	-
Chpf	ENSMUSG00000032997	1	75479307	75474569	-
Obsl1	ENSMUSG00000026211	1	75506452	75479310	-
Gm29065	ENSMUSG00000099996	1	76018756	76016658	-
Gm816	ENSMUSG00000100534	1	77027792	76890472	-
Epha4	ENSMUSG00000026235	1	77515088	77367185	-
Gm28387	ENSMUSG00000102052	1	77972376	77942966	-
Pax3	ENSMUSG00000004872	1	78197134	78101267	-
Gm28410	ENSMUSG00000099561	1	78340106	78325628	-
Farsb	ENSMUSG00000026245	1	78488897	78417975	-
BC035947	ENSMUSG00000090486	1	78512158	78497026	-
5730419F03Rik	ENSMUSG00000099364	1	78609508	78595031	-
Gm29536	ENSMUSG00000099706	1	79224511	78791623	-
Scg2	ENSMUSG00000050711	1	79440120	79434669	-
Ap1s3	ENSMUSG00000054702	1	79671972	79606876	-
Wdfy1	ENSMUSG00000073643	1	79776143	79702262	-
Serpine2	ENSMUSG00000026249	1	79861180	79794197	-
Fam124b	ENSMUSG00000043230	1	80218473	80198706	-
Cul3	ENSMUSG00000004364	1	80340480	80264923	-
Gm45261	ENSMUSG00000110100	1	80461448	80449597	-
Dock10	ENSMUSG00000038608	1	80758527	80501073	-
Irs1	ENSMUSG00000055980	1	82291416	82233101	-
Gm28940	ENSMUSG00000100786	1	82402746	82392493	-
Col4a4	ENSMUSG00000067158	1	82586849	82448423	-
C430014B12Rik	ENSMUSG00000097564	1	82725169	82691928	-
Tm4sf20	ENSMUSG00000026149	1	82768461	82756649	-
Gm47791	ENSMUSG00000114299	1	82771243	82770824	-
Gm6217	ENSMUSG00000113846	1	82931399	82930571	-
A030003K21Rik	ENSMUSG00000113084	1	82943388	82942559	-
Gm7544	ENSMUSG00000113925	1	82956013	82955186	-
Slc19a3	ENSMUSG00000038496	1	83038448	83012523	-
Krtap28-10	ENSMUSG00000100190	1	83042480	83041524	-
A030005K14Rik	ENSMUSG00000104423	1	83059378	83058286	-
Sphkap	ENSMUSG00000026163	1	83408200	83254139	-
4933436I20Rik	ENSMUSG00000100580	1	83911644	83659550	-
Pid1	ENSMUSG00000045658	1	84364180	84036296	-
Dner	ENSMUSG00000036766	1	84696221	84369839	-
Trip12	ENSMUSG00000026219	1	84840516	84721189	-
Slc16a14	ENSMUSG00000026220	1	84935134	84905898	-
C130026I21Rik	ENSMUSG00000052477	1	85270566	84992690	-
A530032D15Rik	ENSMUSG00000089844	1	85109853	85083069	-
Gm16092	ENSMUSG00000089714	1	85527161	85511133	-
Sp110	ENSMUSG00000070034	1	85598817	85576899	-
Gm10552	ENSMUSG00000073628	1	85611896	85604085	-
Gm17017	ENSMUSG00000090246	1	85650585	85641222	-
A630001G21Rik	ENSMUSG00000052760	1	85778643	85717083	-
Gm28884	ENSMUSG00000099767	1	85937332	85933247	-
Gpr55	ENSMUSG00000049608	1	85961007	85938318	-
Gm28100	ENSMUSG00000100108	1	85986917	85972365	-
Htr2b	ENSMUSG00000026228	1	86111970	86099026	-
Gm16341	ENSMUSG00000087538	1	86301375	86275509	-
Gm28626	ENSMUSG00000099644	1	86304059	86303195	-
Ncl	ENSMUSG00000026234	1	86359400	86344719	-
Nmur1	ENSMUSG00000026237	1	86426228	86386303	-
Pde6d	ENSMUSG00000026239	1	86582629	86542994	-
Nppc	ENSMUSG00000026241	1	86670571	86666291	-
Gm28375	ENSMUSG00000099401	1	87057596	86929387	-
Alppl2	ENSMUSG00000026246	1	87089928	87086694	-
Alpi	ENSMUSG00000079440	1	87101606	87098002	-
Gm29374	ENSMUSG00000099839	1	87146983	87142874	-
Ecel1	ENSMUSG00000026247	1	87156521	87147655	-
Efhd1os	ENSMUSG00000089821	1	87265174	87264481	-
Kcnj13	ENSMUSG00000079436	1	87394729	87386363	-
Ngef	ENSMUSG00000026259	1	87573870	87476834	-
Gm19582	ENSMUSG00000101942	1	87854299	87853347	-
Usp40	ENSMUSG00000005501	1	88008551	87945119	-
Gm20528	ENSMUSG00000092220	1	88218584	88055393	-
Dnajb3	ENSMUSG00000081984	1	88205782	88204732	-
Hjurp	ENSMUSG00000044783	1	88277633	88262471	-
4930453O03Rik	ENSMUSG00000085420	1	88352930	88347489	-
Gm29538	ENSMUSG00000099553	1	88462608	88443969	-
Glrp1	ENSMUSG00000062310	1	88510066	88499871	-
Arl4c	ENSMUSG00000049866	1	88702221	88673125	-
Gm29337	ENSMUSG00000099848	1	88875410	88868475	-
Gm28342	ENSMUSG00000101288	1	89358144	89302719	-
C030007H22Rik	ENSMUSG00000099938	1	89406133	89360342	-
